id,type,name,url,category,categoryName,description,tags,featured,priority,addedAt,meta
xiaolin-youtube,youtube-channel,小Lin说,https://www.youtube.com/channel/UCilwQlk62k1z7aUEZPOB6yw,youtube-business-finance,商业财经,用故事化方式讲解商业公司、金融事件、经济周期、行业变化和消费市场逻辑。,财经 | 商业 | 经济,true,11,2026-06-09,海外 / 简中
zrbros-youtube,youtube-channel,柴鼠兄弟,https://www.youtube.com/@ZRBros,youtube-business-finance,商业财经,台湾财经教育频道，覆盖投资观念、理财工具、市场基础知识和个人财务规划。,理财 | 投资 | 台湾,false,12,2026-06-09,台湾 / 繁中
gooaye-youtube,youtube-channel,股癌 Gooaye,https://www.youtube.com/@Gooaye,youtube-business-finance,商业财经,台湾财经评论和播客频道，围绕股市、科技产业、宏观环境和投资情绪做讨论。,股市 | 播客 | 财经,false,13,2026-06-09,台湾 / 繁中
linvo-youtube,youtube-channel,李自然说,https://www.youtube.com/@Linvo,youtube-business-finance,商业财经,商业科技叙事频道，解析创业公司、互联网产品、技术趋势和商业模式变化。,商业 | 科技 | 创业,false,14,2026-06-09,海外 / 简中
joeman-youtube,youtube-channel,Joeman,https://www.youtube.com/@Joeman,youtube-business-finance,商业财经,台湾综合型创作者，代表内容包括开箱评测、商业合作、房产消费和人物企划。,评测 | 商业 | 生活,true,15,2026-06-09,台湾 / 繁中
laogao-youtube,youtube-channel,老高与小茉,https://www.youtube.com/@laogao,youtube-film-entertainment,影视娱乐,中文长视频头部频道之一，内容以都市传说、历史谜题、科学想象和故事型讲述为主。,故事 | 悬疑 | 长视频,true,45,2026-06-09,中文 / 故事
howhow-youtube,youtube-channel,HowHow,https://www.youtube.com/@HowFunOfficial,youtube-film-entertainment,影视娱乐,台湾喜剧创作者，代表内容是短剧、广告梗、角色表演和网络流行文化创作。,喜剧 | 短剧 | 台湾,true,46,2026-06-09,台湾 / 繁中
tsaigray-youtube,youtube-channel,蔡阿嘎,https://www.youtube.com/@tsaigray2018,youtube-film-entertainment,影视娱乐,台湾早期代表性 YouTuber，内容覆盖生活企划、家庭记录、台湾文化和娱乐短片。,生活 | 娱乐 | 台湾,false,47,2026-06-09,台湾 / 繁中
tgop-youtube,youtube-channel,这群人 TGOP,https://www.youtube.com/user/e84768131,youtube-film-entertainment,影视娱乐,台湾喜剧团体频道，以经典语录、情境短剧、翻唱企划和团队型娱乐内容闻名。,喜剧 | 短剧 | 团队,false,48,2026-06-09,台湾 / 繁中
asenstudio-youtube,youtube-channel,阿神,https://www.youtube.com/@AsenStudio,youtube-film-entertainment,影视娱乐,中文游戏和实况频道，长期制作游戏流程、实况片段、合作企划和粉丝向内容。,游戏 | 实况 | 娱乐,false,49,2026-06-09,台湾 / 繁中
muyao4-youtube,youtube-channel,木曜 4 超玩,https://www.youtube.com/@Muyao4,youtube-film-entertainment,影视娱乐,台湾综艺型 YouTube 频道，代表内容包括一日系列、艺人企划、职业体验和外景节目。,综艺 | 台湾 | 外景,true,50,2026-06-09,台湾 / 繁中
nsfw-youtube,youtube-channel,上班不要看,https://www.youtube.com/@nsfwofficial,youtube-film-entertainment,影视娱乐,台湾网络娱乐团队，制作实测企划、短剧、人物挑战、直播片段和品牌合作内容。,娱乐 | 企划 | 台湾,false,51,2026-06-09,台湾 / 繁中
str-network-youtube,youtube-channel,STR Network,https://www.youtube.com/@STRNetworkasia,youtube-film-entertainment,影视娱乐,博恩和团队相关的喜剧内容入口，包含脱口秀、访谈、讽刺短片和舞台节目片段。,脱口秀 | 喜剧 | 访谈,false,52,2026-06-09,台湾 / 繁中
gudamovie-youtube,youtube-channel,谷阿莫,https://www.youtube.com/channel/UC6IMF6xi_MZ3jA1wRlPQDLA,youtube-film-entertainment,影视娱乐,影视解说代表频道之一，以快速叙事、电影剧情梳理和流行影视内容总结见长。,影视 | 解说 | 电影,false,53,2026-06-09,台湾 / 繁中
atien-dai-youtube,youtube-channel,白痴公主,https://www.youtube.com/user/ATienDai,youtube-film-entertainment,影视娱乐,台湾娱乐创作者，内容包含配音、角色扮演、生活企划、短剧和个人品牌节目。,娱乐 | 配音 | 短剧,false,54,2026-06-09,台湾 / 繁中
namewee-youtube,youtube-channel,Namewee 黄明志,https://www.youtube.com/@namewee,youtube-film-entertainment,影视娱乐,马来西亚华语音乐与影像创作者，发布音乐作品、MV、社会观察和跨语种娱乐内容。,音乐 | 马来西亚 | 创作,true,55,2026-06-09,马来西亚 / 华语
bbc-news-chinese-youtube,youtube-channel,BBC News 中文,https://www.youtube.com/@BBCNewsChinese,youtube-news-public-affairs,新闻与公共议题,BBC 中文视频入口，提供国际新闻、解释型短片、人物报道和重大事件背景内容。,新闻 | 解释 | 国际,true,1,2026-06-09,英国 / 中文
dw-chinese-youtube,youtube-channel,DW 中文,https://www.youtube.com/@dwchinese,youtube-news-public-affairs,新闻与公共议题,德国之声中文频道，提供欧洲视角的国际新闻、专题报道、现场连线和深度访谈。,新闻 | 欧洲 | 专题,true,2,2026-06-09,德国 / 中文
tvbs-news-youtube,youtube-channel,TVBS NEWS,https://www.youtube.com/@TVBSNEWS01,youtube-news-public-affairs,新闻与公共议题,台湾 TVBS 新闻频道，提供即时新闻、政经节目、社会现场、国际报道和直播片段。,台湾 | 新闻 | 直播,false,3,2026-06-09,台湾 / 繁中
pts-news-youtube,youtube-channel,公视新闻,https://www.youtube.com/@PNNPTS,youtube-news-public-affairs,新闻与公共议题,台湾公共电视新闻频道，提供公共议题、调查报道、新闻现场和深度专题节目。,台湾 | 公共媒体 | 新闻,false,4,2026-06-09,台湾 / 繁中
setn-youtube,youtube-channel,三立新闻,https://www.youtube.com/@SETN,youtube-news-public-affairs,新闻与公共议题,三立新闻 YouTube 频道，集中台湾即时新闻、政论节目、社会新闻和现场直播。,台湾 | 新闻 | 政论,false,5,2026-06-09,台湾 / 繁中
